Value Set,Change,Code System,Code,Revised
Pregnancy,Added,SNOMED CT US Edition,1303872001,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,1335934009,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,1339000004,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,1340042007,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,1340166003,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,39341000119109,
Pregnancy,Added,SNOMED CT US Edition,39791000119102,
Pregnancy,Added,SNOMED CT US Edition,94821000119104,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,598071000005103,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,598081000005100,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,598091000005102,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,598221000005106,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,598241000005101,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,598251000005104,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658001000005107,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658011000005105,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658021000005104,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658031000005101,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658041000005109,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658051000005106,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658061000005108,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658071000005103,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658081000005100,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658091000005102,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,658101000005106,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,104758671000119101,
Pregnancy,Added,SNOMED CT US Edition,138841771000119103,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,159139031000119104,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,292834071000119104,
Pregnancy,Added,SNOMED CT US Edition,812500731000119109,2025-03-31
Pregnancy,Deleted,SNOMED CT US Edition,169636004,
Pregnancy,Deleted,SNOMED CT US Edition,199205008,
Pregnancy,Deleted,SNOMED CT US Edition,200051005,
